project_id,area_sqkm,population_density,infrastructure_type,land_cost_per_sqkm,construction_cost_index,distance_to_city_center,existing_infrastructure_score,environmental_factors,zoning_complexity,project_duration_years,total_cost_millions
1,19.039735882944445,1382.3578503059393,Commercial,286393.2190028246,1.38799875627076,4.707642372810543,0.9198076922946059,0.7110026254228615,0.7271742848028633,8.153472354438941,274771.7
2,47.56035816729085,1310.1961154527992,Public,79724.88851997204,1.3074389226371077,22.430769831531073,0.46892773198807913,0.9601949157500185,0.7958512552270628,3.0638705527688854,288424.02
3,36.733700119664555,4540.647444553079,Public,487655.7060423816,1.4263333909087463,12.50975136852265,0.43545739538498873,0.939592458889549,0.7622705081899408,2.429539258438141,594747.18
4,30.13359496775331,1322.77637926258,Mixed,212026.9558688267,0.8822900743846557,8.624803181332265,0.8982370600635543,0.728447277491214,0.3800062767996684,8.041954685489873,244508.45
5,8.222922701900607,1432.553658030292,Industrial,265040.3097109111,1.493155774230552,11.889460038600884,0.8375901238071883,0.7054499524959033,0.5037552169629524,7.371028276281399,293497.32
6,8.221728756642031,3821.0514858480224,Public,209877.78840661517,0.9465846997649535,15.434940344599994,0.6119838485186758,0.7775045432374257,0.3906686269302466,2.643750781316186,492978.57
7,3.3751388023258735,2303.725228007646,Industrial,357130.27855229005,0.8082459134006494,10.950349976093273,0.30458779156628,0.6217270059858828,0.8900806814339941,2.046211774209442,341590.04
8,43.37571921585929,3905.881729080388,Residential,348004.47124831687,1.498196057337488,8.015267405160976,0.372057177172042,0.5260924959831814,0.8228325587488663,8.54559179638023,559563.98
9,30.255193081288837,420.29417206548766,Industrial,371895.039738111,0.9967517198115792,12.55655883531543,0.7249823923270453,0.9696120680856033,0.4410689020427697,7.989386339770192,174005.28
10,35.549592600904255,2489.098848999583,Commercial,170664.4533253644,1.267613616758792,1.5560144117470491,0.5080329902723293,0.5933494924385864,0.5389164683429254,3.9453163632969783,360675.81
11,1.5189324676422211,264.7066408980849,Commercial,192050.81652382968,0.9236776199234137,23.4024375367931,0.8691785533327769,0.5992003646228582,0.97663049458495,6.9237766739203,177536.21
12,48.51053768201872,407.00069693123714,Public,106363.05399329358,1.2061599725393992,5.9574019134599885,0.9599640074657634,0.7362301644269738,0.7159115505157561,2.117441678930297,139031.12
